"GEO_ID","NAME","H10_001N","H10_001NA","H10_002N","H10_002NA","H10_003N","H10_003NA","H10_004N","H10_004NA","H10_005N","H10_005NA","H10_006N","H10_006NA","H10_007N","H10_007NA","H10_008N","H10_008NA","H10_009N","H10_009NA","H10_010N","H10_010NA","H10_011N","H10_011NA","H10_012N","H10_012NA","H10_013N","H10_013NA","H10_014N","H10_014NA","H10_015N","H10_015NA","H10_016N","H10_016NA","H10_017N","H10_017NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Owner occupied:","Annotation of  !!Total:!!Owner occupied:"," !!Total:!!Owner occupied:!!Householder who is White alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is White alone"," !!Total:!!Owner occupied:!!Householder who is Black or African American alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Black or African American alone"," !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Owner occupied:!!Householder who is Asian alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Asian alone"," !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Owner occupied:!!Householder who is Some Other Race alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Some Other Race alone"," !!Total:!!Owner occupied:!!Householder who is Two or More Races","Annotation of  !!Total:!!Owner occupied:!!Householder who is Two or More Races"," !!Total:!!Renter occupied:","Annotation of  !!Total:!!Renter occupied:"," !!Total:!!Renter occupied:!!Householder who is White alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is White alone"," !!Total:!!Renter occupied:!!Householder who is Black or African American alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Black or African American alone"," !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Renter occupied:!!Householder who is Asian alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Asian alone"," !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Renter occupied:!!Householder who is Some Other Race alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Some Other Race alone"," !!Total:!!Renter occupied:!!Householder who is Two or More Races","Annotation of  !!Total:!!Renter occupied:!!Householder who is Two or More Races",
"860Z200US62624","ZCTA5 62624","207","null","179","null","176","null","0","null","0","null","1","null","0","null","1","null","1","null","28","null","26","null","0","null","0","null","0","null","0","null","2","null","0","null",
"860Z200US62625","ZCTA5 62625","340","null","310","null","289","null","3","null","0","null","2","null","0","null","2","null","14","null","30","null","28","null","1","null","0","null","0","null","1","null","0","null","0","null",
"860Z200US62626","ZCTA5 62626","3313","null","2287","null","2207","null","14","null","4","null","7","null","0","null","1","null","54","null","1026","null","937","null","23","null","5","null","8","null","0","null","3","null","50","null",
"860Z200US62627","ZCTA5 62627","387","null","320","null","308","null","2","null","0","null","1","null","0","null","0","null","9","null","67","null","63","null","1","null","0","null","0","null","0","null","2","null","1","null",
"860Z200US62628","ZCTA5 62628","344","null","290","null","281","null","0","null","1","null","0","null","0","null","0","null","8","null","54","null","47","null","2","null","3","null","0","null","0","null","0","null","2","null",
"860Z200US62629","ZCTA5 62629","5831","null","4508","null","4172","null","87","null","5","null","99","null","4","null","15","null","126","null","1323","null","1057","null","131","null","6","null","56","null","1","null","6","null","66","null",
"860Z200US62630","ZCTA5 62630","202","null","168","null","158","null","1","null","1","null","0","null","0","null","0","null","8","null","34","null","30","null","0","null","0","null","2","null","0","null","0","null","2","null",
"860Z200US62631","ZCTA5 62631","123","null","115","null","112","null","0","null","0","null","1","null","0","null","0","null","2","null","8","null","7","null","1","null","0","null","0","null","0","null","0","null","0","null",
"860Z200US62633","ZCTA5 62633","257","null","225","null","220","null","0","null","1","null","0","null","0","null","0","null","4","null","32","null","30","null","0","null","0","null","0","null","0","null","0","null","2","null",
"860Z200US62634","ZCTA5 62634","340","null","284","null","270","null","0","null","0","null","1","null","0","null","1","null","12","null","56","null","54","null","0","null","0","null","0","null","0","null","0","null","2","null",
"860Z200US62635","ZCTA5 62635","301","null","236","null","227","null","1","null","0","null","2","null","0","null","0","null","6","null","65","null","62","null","2","null","0","null","0","null","0","null","0","null","1","null",
"860Z200US62638","ZCTA5 62638","545","null","440","null","428","null","0","null","0","null","1","null","0","null","0","null","11","null","105","null","103","null","0","null","0","null","0","null","0","null","0","null","2","null",
"860Z200US62639","ZCTA5 62639","125","null","111","null","106","null","1","null","0","null","1","null","0","null","1","null","2","null","14","null","13","null","0","null","0","null","0","null","0","null","0","null","1","null",
"860Z200US62640","ZCTA5 62640","1429","null","1119","null","1070","null","1","null","1","null","1","null","0","null","3","null","43","null","310","null","291","null","2","null","0","null","1","null","0","null","1","null","15","null",
