id,name,location_type,latitude,longitude,private,date_created,last_seen
57579,Edgewater Condo Indoor,1,41.991753,-87.657234,0,2020-06-11T18:26:59Z,2023-05-26T21:25:54Z
171015,LUC_CARE_indoor2,1,41.99149,-87.657555,0,2022-11-18T19:25:40Z,2023-05-26T21:24:23Z
171075,LUC_CARE_indoor1,1,41.994656,-87.661316,0,2022-11-18T19:41:58Z,2023-05-26T21:25:59Z
137622,LUC BVM Indoor,1,41.998116,-87.65649,0,2021-11-12T22:38:07Z,2023-05-26T21:24:50Z
150066,LUC Doyle Hall,0,42.00173,-87.658134,0,2022-06-20T17:58:18Z,2023-05-26T21:25:04Z
153638,Purple-HP-1,0,41.792522,-87.58896,0,2022-07-11T17:36:35Z,2024-02-14T22:01:01Z
148989,Hyde Park - 53rd and Ingleside,0,41.79884,-87.603065,0,2022-06-10T19:52:34Z,2024-02-14T22:00:57Z
187615,Kenwood,0,41.811222,-87.59382,0,2023-07-11T16:05:54Z,2024-02-14T22:02:12Z
151606,LVEJO_R3,0,41.83481,-87.71722,0,2022-06-29T00:09:32Z,2024-02-14T22:02:03Z
178649,LVEJO-R1,0,41.83401,-87.71916,0,2023-04-06T20:23:52Z,2024-02-14T22:02:16Z
147893,59th Ave &amp; 38th St,0,41.8238,-87.770584,0,2022-05-27T15:58:48Z,2024-02-14T22:00:35Z
151074,LVEJO_R4,0,41.853207,-87.690956,0,2022-06-24T22:47:19Z,2024-02-14T22:01:19Z
189233,tri-taylor-chicago,0,41.868404,-87.68851,0,2023-07-21T21:18:15Z,2024-02-14T22:01:39Z
195181,18th and California,0,41.856922,-87.69554,0,2023-09-12T19:24:22Z,2024-02-14T22:02:14Z
65791,Loop,0,41.881,-87.625656,0,2020-09-04T16:35:07Z,2024-02-14T22:02:03Z
195173,North Town Village,0,41.906685,-87.64716,0,2023-09-12T18:54:53Z,2024-02-14T22:01:40Z
120369,La Grange Country Club Section,0,41.79734,-87.876686,0,2021-08-13T21:37:21Z,2024-02-14T22:02:25Z
188475,OAK PARK Lyman Av,0,41.87748,-87.77712,0,2023-07-17T15:36:19Z,2024-02-14T22:02:37Z
185239,RF200AshlandOut,0,41.88442,-87.81662,0,2023-06-22T20:07:55Z,2024-02-14T22:01:39Z
185237,Ukranian-Village-f296,0,41.89235,-87.68557,0,2023-06-22T19:30:27Z,2024-02-14T22:01:22Z
191181,Roof deck,0,41.895283,-87.67359,0,2023-08-04T16:27:28Z,2024-02-14T22:02:40Z
186099,Taylor Park,0,41.90292,-87.78548,0,2023-06-28T21:10:46Z,2024-02-14T22:02:35Z
182245,Lawndale,0,41.91638,-87.71977,0,2023-05-26T22:43:21Z,2024-02-14T22:01:11Z
182281,Home,0,41.937466,-87.66412,0,2023-05-30T19:34:04Z,2024-02-14T22:01:31Z
192837,mscjme-purple1,0,41.93369,-87.71961,0,2023-08-21T18:45:10Z,2024-02-14T22:01:26Z
192597,East Lakeview,0,41.946285,-87.649796,0,2023-08-16T21:09:38Z,2024-02-14T21:59:15Z
203303,Kimball &amp; Cullom,0,41.959293,-87.71308,0,2023-11-28T18:51:14Z,2024-02-14T22:02:00Z
196015,LUC Jesuit Residence,0,41.997185,-87.657394,0,2023-09-18T20:23:41Z,2024-02-14T22:02:03Z
175419,CARE_SES Teaching Lab,0,41.99786,-87.657005,0,2023-02-28T20:39:26Z,2024-02-14T21:50:34Z
144504,LUC BVM,0,41.998158,-87.656586,0,2022-02-14T18:36:05Z,2024-02-14T22:01:57Z
196037,Student Apartment 1,0,42.001022,-87.66438,0,2023-09-18T20:30:48Z,2024-02-14T21:44:01Z
189821,South Blvd,0,42.028156,-87.68209,0,2023-07-26T21:02:33Z,2024-02-14T22:02:34Z
175417,LUC_CARE_15,0,41.97209,-87.86852,0,2023-02-28T20:39:23Z,2024-02-14T22:01:04Z
